ward2023,period,ward2015,share_of_rpt_n
14,CY2019-2025,17,0.0370
14,CY2019-2025,16,0.0354
14,CY2020,14,0.6866
14,CY2020,23,0.2289
14,CY2020,17,0.0458
14,CY2020,16,0.0387
14,CY2020-2022,14,0.7003
14,CY2020-2022,23,0.2287
14,CY2020-2022,16,0.0397
14,CY2020-2022,17,0.0313
14,CY2021,14,0.7533
14,CY2021,23,0.1950
14,CY2021,16,0.0268
14,CY2021,17,0.0249
14,CY2022,14,0.6847
14,CY2022,23,0.2424
14,CY2022,16,0.0455
14,CY2022,17,0.0275
14,CY2023,14,0.7146
14,CY2023,23,0.2042
14,CY2023,17,0.0472
14,CY2023,16,0.0340
14,CY2023-2025,14,0.7286
14,CY2023-2025,23,0.2089
14,CY2023-2025,17,0.0369
14,CY2023-2025,16,0.0256
14,YTD2019-08,14,0.6864
14,YTD2019-08,23,0.2281
14,YTD2019-08,16,0.0444
14,YTD2019-08,17,0.0412
14,YTD2020-08,14,0.6429
14,YTD2020-08,23,0.2662
14,YTD2020-08,17,0.0519
14,YTD2020-08,16,0.0390
14,YTD2021-08,14,0.7578
14,YTD2021-08,23,0.1875
14,YTD2021-08,16,0.0365
14,YTD2021-08,17,0.0182
14,YTD2022-08,14,0.6929
14,YTD2022-08,23,0.2354
14,YTD2022-08,16,0.0504
14,YTD2022-08,17,0.0212
14,YTD2023-08,14,0.6981
14,YTD2023-08,23,0.2111
14,YTD2023-08,17,0.0539
14,YTD2023-08,16,0.0368
15,CY2019,15,0.6321
15,CY2019,16,0.1865
15,CY2019,17,0.1018
15,CY2019,11,0.0595
15,CY2019,14,0.0161
15,CY2019,20,0.0040
15,CY2019-2025,15,0.5359
15,CY2019-2025,16,0.3016
15,CY2019-2025,17,0.0754
15,CY2019-2025,11,0.0525
15,CY2019-2025,14,0.0318
15,CY2019-2025,20,0.0028
15,CY2020,15,0.6867
15,CY2020,16,0.1667
15,CY2020,17,0.0917
15,CY2020,11,0.0350
15,CY2020,14,0.0167
15,CY2020,20,0.0033
15,CY2020-2022,15,0.4876
15,CY2020-2022,16,0.3921
15,CY2020-2022,17,0.0572
15,CY2020-2022,11,0.0383
15,CY2020-2022,14,0.0234
15,CY2020-2022,20,0.0014
15,CY2021,15,0.6574
15,CY2021,16,0.2060
15,CY2021,11,0.0556
15,CY2021,17,0.0486
15,CY2021,14,0.0324
15,CY2022,16,0.5075
15,CY2022,15,0.3844
15,CY2022,17,0.0482
15,CY2022,11,0.0353
15,CY2022,14,0.0236
15,CY2022,20,0.0011
15,CY2023,15,0.5425
15,CY2023,16,0.2242
15,CY2023,17,0.1085
15,CY2023,11,0.0759
15,CY2023,14,0.0416
15,CY2023,20,0.0072
15,CY2023-2025,15,0.5618
15,CY2023-2025,16,0.2159
15,CY2023-2025,17,0.0906
15,CY2023-2025,11,0.0722
15,CY2023-2025,14,0.0548
15,CY2023-2025,20,0.0046
15,YTD2019-08,15,0.6200
15,YTD2019-08,16,0.2018
15,YTD2019-08,17,0.0913
15,YTD2019-08,11,0.0633
15,YTD2019-08,14,0.0177
15,YTD2019-08,20,0.0059
15,YTD2020-08,15,0.7143
15,YTD2020-08,16,0.1560
15,YTD2020-08,17,0.0902
15,YTD2020-08,11,0.0263
15,YTD2020-08,14,0.0132
15,YTD2021-08,15,0.6837
15,YTD2021-08,16,0.1871
15,YTD2021-08,11,0.0510
15,YTD2021-08,17,0.0476
15,YTD2021-08,14,0.0306
15,YTD2022-08,16,0.5283
15,YTD2022-08,15,0.3804
15,YTD2022-08,17,0.0360
15,YTD2022-08,11,0.0326
15,YTD2022-08,14,0.0217
15,YTD2022-08,20,0.0011
15,YTD2023-08,15,0.5279
15,YTD2023-08,16,0.2395
15,YTD2023-08,17,0.1023
15,YTD2023-08,11,0.0860
15,YTD2023-08,14,0.0349
15,YTD2023-08,20,0.0093
16,CY2019,16,0.6937
16,CY2019,17,0.1281
16,CY2019,20,0.0796
16,CY2019,15,0.0591
16,CY2019,6,0.0371
16,CY2019,3,0.0023
16,CY2019-2025,16,0.6396
16,CY2019-2025,17,0.1328
16,CY2019-2025,20,0.1173
16,CY2019-2025,15,0.0704
16,CY2019-2025,6,0.0373
16,CY2019-2025,3,0.0026
16,CY2020,16,0.6033
16,CY2020,20,0.1405
16,CY2020,17,0.1174
16,CY2020,15,0.0909
16,CY2020,6,0.0380
16,CY2020,3,0.0099
16,CY2020-2022,16,0.6052
16,CY2020-2022,17,0.1410
16,CY2020-2022,20,0.1210
16,CY2020-2022,15,0.0878
16,CY2020-2022,6,0.0415
16,CY2020-2022,3,0.0034
16,CY2021,16,0.6552
16,CY2021,17,0.1456
16,CY2021,20,0.0857
16,CY2021,15,0.0664
16,CY2021,6,0.0471
16,CY2022,16,0.5824
16,CY2022,17,0.1535
16,CY2022,20,0.1259
16,CY2022,15,0.0962
16,CY2022,6,0.0409
16,CY2022,3,0.0010
16,CY2023,16,0.6648
16,CY2023,17,0.1238
16,CY2023,20,0.0987
16,CY2023,6,0.0612
16,CY2023,15,0.0501
16,CY2023,3,0.0014
16,CY2023-2025,16,0.6391
16,CY2023-2025,20,0.1386
16,CY2023-2025,17,0.1274
16,CY2023-2025,15,0.0596
16,CY2023-2025,6,0.0331
16,CY2023-2025,3,0.0020
16,YTD2019-08,16,0.6847
16,YTD2019-08,17,0.1496
16,YTD2019-08,20,0.0653
16,YTD2019-08,15,0.0643
16,YTD2019-08,6,0.0341
16,YTD2019-08,3,0.0020
16,YTD2020-08,16,0.6235
16,YTD2020-08,20,0.1394
16,YTD2020-08,17,0.1076
16,YTD2020-08,15,0.0956
16,YTD2020-08,6,0.0259
16,YTD2020-08,3,0.0080
16,YTD2021-08,16,0.6258
16,YTD2021-08,17,0.1503
16,YTD2021-08,20,0.1012
16,YTD2021-08,6,0.0613
16,YTD2021-08,15,0.0613
16,YTD2022-08,16,0.5838
16,YTD2022-08,17,0.1496
16,YTD2022-08,20,0.1260
16,YTD2022-08,15,0.1024
16,YTD2022-08,6,0.0371
16,YTD2022-08,3,0.0011
16,YTD2023-08,16,0.6661
16,YTD2023-08,17,0.1298
16,YTD2023-08,20,0.1046
16,YTD2023-08,15,0.0540
16,YTD2023-08,6,0.0455
17,CY2019,17,0.5980
17,CY2019,21,0.3068
17,CY2019,6,0.0738
17,CY2019,18,0.0123
17,CY2019,16,0.0090
17,CY2019-2025,17,0.5850
17,CY2019-2025,21,0.3096
17,CY2019-2025,6,0.0699
17,CY2019-2025,18,0.0257
17,CY2019-2025,16,0.0098
17,CY2020,17,0.6467
17,CY2020,21,0.2467
17,CY2020,6,0.0822
17,CY2020,18,0.0222
17,CY2020,16,0.0022
17,CY2020-2022,17,0.5672
17,CY2020-2022,21,0.3370
17,CY2020-2022,6,0.0695
17,CY2020-2022,18,0.0179
17,CY2020-2022,16,0.0084
17,CY2021,17,0.5604
17,CY2021,21,0.3654
17,CY2021,6,0.0524
17,CY2021,18,0.0131
17,CY2021,16,0.0087
17,CY2022,17,0.5319
17,CY2022,21,0.3610
17,CY2022,6,0.0763
17,CY2022,18,0.0194
17,CY2022,16,0.0114
17,CY2023,17,0.5778
17,CY2023,21,0.2942
17,CY2023,6,0.0832
17,CY2023,18,0.0341
17,CY2023,16,0.0107
17,CY2023-2025,17,0.5997
17,CY2023-2025,21,0.2715
17,CY2023-2025,6,0.0670
17,CY2023-2025,18,0.0493
17,CY2023-2025,16,0.0125
17,YTD2019-08,17,0.5899
17,YTD2019-08,21,0.3248
17,YTD2019-08,6,0.0658
17,YTD2019-08,16,0.0113
17,YTD2019-08,18,0.0082
17,YTD2020-08,17,0.6545
17,YTD2020-08,21,0.2338
17,YTD2020-08,6,0.0831
17,YTD2020-08,18,0.0260
17,YTD2020-08,16,0.0026
17,YTD2021-08,17,0.5305
17,YTD2021-08,21,0.4104
